title,abstract,keyphrases
Desarrollo de app publicidad,Hola necesito una app nativa facil de usar para el consumidor que pueda publicarse poniendo su imagen de publicidad un titulo precio y categoría tambien telefono de whatsapp para que por medio de link se comuniquen con el anunciante directamente de esa manera hacer un tipo directorio Que tenga buscador y seccion de las categorías asi mismo que pida contraseña por google o facebook para registrarse y yo pueda admitir a los usuarios antes de poder hacer uso de ella Que puedan pagar paquetes para publicarse en primera plana...,"hola necesito una app nativa facil de usar para el consumidor que pueda publicarse poniendo su imagen de publicidad un titulo precio y categoría tambien telefono de whatsapp para que por medio de link se comuniquen con el anunciante directamente de esa manera hacer un tipo directorio que tenga buscador y seccion de las categorías asi mismo que pida contraseña por google o facebook para registrarse y yo pueda, los usuarios antes de poder hacer uso de ella que, app publicidad, puedan pagar, primera plana, desarrollo, para"
quality House GS,Saludo me gustaría crear una página web para mi empresa inmobiliaria,"gustaría crear una página web para mi empresa inmobiliaria, quality house gs, saludo"
desarrollo de videojuego 2d en godot,es un videojuego funcional con fines académicos desarrollado en GODOT,"es un videojuego, videojuego 2d en godot, funcional con fines académicos desarrollado en godot, desarrollo"
Convertir libro excel en programa instalable,"Cuento con un libro excel el cual tiene macro encargada de llenar transferir datos desde excel a una pagina web, utilizando Selenium web driver, lo que quisiera es que se pueda convertir a un programa instalable, pero con seguridad, es decir añadirle licencia de uso, que funcione con un archivo especifico entre otras cosas, me gustaria saber las propuestas y contactarnos para mas detalles, gracias.","es decir añadirle licencia de uso, cuento con un libro excel el cual tiene macro encargada de llenar transferir datos desde, funcione con un archivo especifico entre otras cosas, utilizando selenium web driver, pero con seguridad, y contactarnos para mas detalles, una pagina web, gustaria saber las, convertir libro, pueda convertir"
Locutor para videos de 800-1000 palabras,"Busco alguien (voz de hombre) que tenga acento neutro para trabajar a largo plazo, de 3 a 4 videos por mes para YouTube, una vez el canal monetice se incrementará la paga, ocupamos calidad de audio, puntualidad y de 1 a 2 días para alistar el audio, el guión se le dará y será uso público en YouTube y posiblemente en otras redes sociales","puntualidad y de, el guión se, videos por mes para youtube, que tenga acento neutro para, días para alistar el audio, una vez el canal monetice, dará y será uso público, locutor para, ocupamos calidad de audio, busco alguien"
Necesito un creador de videos para iniciar a monetizar en YouTube,"Me interesa un creador de videos(contenido) dentro de la creacion del mismo incluye la elaboracion del contenido, edición, elaboracion del dialogo y locución, me interesa un buen trato entre creador y cliente y sea un proyecto con beneficio para ambos lados","interesa un creador de videos(contenido, de la creacion del mismo incluye la elaboracion del contenido, interesa un buen trato entre creador y cliente y sea un proyecto con beneficio para, elaboracion del dialogo y locución, youtube, monetizar, edición, lados"
Presentación de PowerPoint y voz en off,"Tengo los archivos que usarás para el trabajo. Solo tienes que hacer una presentación de PowerPoint, con tu creatividad","presentación de powerpoint y, solo tienes que hacer una presentación de powerpoint, que usarás para el trabajo, tengo los, con tu creatividad"
Edición de video para contenido financiero en Colombia -- 2,"Estoy en búsqueda de un editor de video para contenido financiero en Colombia, la idea es realizar un video diario y que de ese video se extraiga un clip para subir a TikTok. Para obtener una idea de lo que se necesita sería algo así: lo más importante es dar dinamismo al video con apoyo de gráficos como las lineas que aparecen en ese video, los zooms y la música. De preferencia que edite en Adobe Premiere, ya que se enviaría un MP4 junto a un XML con todos los cortes realizados previamente.","los zooms y la música, un editor de video para contenido financiero, la idea es realizar un video diario y que de ese video se extraiga un clip para, dar dinamismo al video con apoyo de gráficos como las lineas que aparecen, para obtener una idea de lo que se necesita sería algo así, un xml con todos los, ese video, colombia, de preferencia que edite, adobe premiere"
Edición de video para contenido financiero en Colombia,"Estoy en búsqueda de un editor de video para contenido financiero en Colombia, la idea es realizar un video diario y que de ese video se extraiga un clip para subir a TikTok. Para obtener una idea de lo que se necesita sería algo así: lo más importante es dar dinamismo al video con apoyo de gráficos como las lineas que aparecen en ese video, los zooms y la música. De preferencia que edite en Adobe Premiere, ya que se enviaría un MP4 junto a un XML con todos los cortes realizados previamente.","los zooms y la música, un editor de video para contenido financiero, la idea es realizar un video diario y que de ese video se extraiga un clip para, dar dinamismo al video con apoyo de gráficos como las lineas que aparecen, para obtener una idea de lo que se necesita sería algo así, un xml con todos los, ese video, colombia, de preferencia que edite, adobe premiere"
Desarrollo de servidor de FiveM,"Necesitamos a un programador que tenga conocimientos en lua, javascript, html y css. Requisitos: --> Tener 16 años o más. --> Conocer bien FiveM. --> Hablar español (porque el servidor a parte de ser español, va a estar ambientado en españa). --> Buscamos buena disponibilidad, actividad y seriedad.","un programador que tenga conocimientos, fivem. necesitamos, conocer bien fivem., buscamos buena disponibilidad, hablar español, parte de ser español, estar ambientado, desarrollo, lua, javascript"
Mexican 3500 sentences record on Lifewood,"Mi empresa se especializa en el desarrollo de la IA y busca hablantes nativos de Mexico (¡sin acento extranjero como argentino etc.!) para aportar su voz a un proyecto de inteligencia artificial para dar forma a la IA del futuro. para ser precisos, debes grabar 3500 frases cortas a través de la aplicación ""Lifewood"". ¡Puedes encontrar la aplicación en la App store! esos 3500 estan separados en 1x800, 1x700 y 4x500. Siempre tendras diferentes data de log-in y contranseñas. El proyecto te llevará entre 10-12 horas de tu tiempo. (Al principio tienes que empezar despacio porque tienes que acostumbrarte, ¡después irá muy rápido dependiendo de tu talento! Los resbalones de la lengua, etc., pueden corregirse y o...","la ia del futuro, especializa en el desarrollo de la ia y busca hablantes nativos de mexico, ¡ sin acento extranjero como argentino, sentences record, artificial para dar forma, empezar despacio porque tienes que acostumbrarte, para ser precisos, ¡ después irá muy rápido dependiendo, para aportar su voz, lifewood"
"Desarrollador ROR, con vue.js experto que hable español  -- 3",Solo español Desarrollador ROR y vue.js para varias tareas como modificaciones en el frontend y crear modulos con integraciones de apis y pasarela de pago paypal Solo español y que aea experto real,"y crear modulos con integraciones de apis y pasarela de pago paypal solo español y que aea experto real, solo español desarrollador ror y vue.js para varias tareas como modificaciones, con vue.js experto, desarrollador ror, hable español, el"
Diseño de carteles promocionales.,Necesito dos afiches promocionales que se utilizarán en el drive-through de un restaurante. Afiche #1: “Hamburguesa Mexicana con Doble Queso” Póster n.° 2: “Burrito de triple amenaza” Tengo fotos de ambas comidas. Voluntad,"el drive-through de un restaurante, hamburguesa mexicana con doble queso, afiches promocionales que se utilizarán, diseño de carteles promocionales, tengo fotos de ambas, triple amenaza, necesito, burrito, afiche, voluntad"
Busco editor de videos,"Necesitamos un editor de vídeos con experiencia previa. El uso de programas básicos como Sony vegas, Filmora(Si se puede) y etc. El salario sera a discusión y por video hecho.","el uso de programas básicos como sony vegas, busco editor, necesitamos un editor de vídeos con experiencia previa, discusión y por video hecho, videos, filmora(si se puede, el salario sera, y"
imagen animada,"Crear una imagen animada de una casa con diferentes estancias. Se debe animar con zoom en cada estancia (habitación) de la casa. un total de 4 o 5 zoom. Para mas info, contacta por mensaje. Gracias","de la casa, crear una imagen animada de una casa con diferentes estancias, se debe animar con zoom en cada estancia, imagen animada, contacta por mensaje, mas info, habitación, para, gracias, un total"
Ilies Bakery,panaderia artesanal. especialidad en panes de hamburguesas,"ilies bakery, panaderia artesanal, especialidad, panes, hamburguesas"
Buscamos desarrollador con experiencia en laravel y NUXT  -- 2,"Nombre de la Empresa: Orinoco-Dev Perfil Requerido: (LARAVEL y NUXT). Ubicación: Remoto Horarios: Flexibilidad en el horario pero con dedicación al proyecto (no significa full time) Tipo de Contrato: Inicialmente a honorarios y posteriormente contrato. Ambiente Laboral: Es un proyecto entretenido y nuevo, un grupo entusiasmado y que se apoya mutuamente. Labores del Cargo: Continuar con desarrollo y nuevas funcionalidades de un proyecto. Remuneración Aproximada: La remuneración seria bajo mutuo acuerdo dependiendo de las tareas asignadas. mas [Removed by Freelancer.com Admin for offsiting - please see Section 13 of our Terms and Conditions] Enviar link de su reportorio, si no posee repositorio con trabajos en larabel y NUXT pero posees experiencia me pu...","un grupo entusiasmado y que se apoya mutuamente, y nuevas funcionalidades de un proyecto, es un proyecto entretenido y nuevo, nombre de la empresa, desarrollador con experiencia en laravel y nuxt, la remuneración seria bajo mutuo acuerdo dependiendo de las tareas asignadas, orinoco-dev perfil requerido, larabel y nuxt pero posees, el horario pero con dedicación al proyecto, labores del cargo"
"Illustrations for ""Heuristic and biases"" cards /// Ilustraciones para cartas de ""sesgos y heurísticas""","We are looking for an illustrator who can lend us a hand with 65 illustrations for some ""behavioral design"" cards. Each card is about a cognitive bias. We layout the card but we need the illustration that identifies each card. I attach a ""capterra"" image so you can see the style we are looking for. At the same time a screenshot with the ""biases"" in the ""XLS"" document that we have to paint. To look for references I recommend you to read a little bit of each bias in wikipedia, or to look for images related to the bias in Google Buscamos un ilustrador que nos pueda echar una mano con 65 ilustraciones para unas cartas de ""diseño de comportamiento"". Cada carta trata de un sesgo cognitivo. Nosotros maquetamos la carta pero necesitamos la...","cards /// ilustraciones para cartas, google buscamos un ilustrador que nos pueda echar una mano con, behavioral design, illustrations, cognitive bias, card, cards, biases, cada carta trata de un sesgo cognitivo, nosotros maquetamos la carta pero necesitamos la"
Instalar clonador de voz castellano en Window,Hola buenas noches. Quiero clonar mi voz en castellano para crear contenido de YouTube. Por lo que he mirado se puede hacer con Python y yo quisiera que instalando anaconda o el programa que me digas y metiendo en una carpeta en una dirección fiia del disco duro todos los archivos necesarios con un solo script se instale el clonador de voces. Si alguien sabe hacerlo y me quiere dar precio es lo que estoy buscando.,"un solo script se instale el clonador de voces, python y yo quisiera que instalando anaconda o el programa, castellano para crear contenido, hola buenas noches, digas y metiendo en una carpeta en una dirección, quiere dar precio es lo que estoy buscando, del disco duro, los archivos necesarios, window, castellano"
Instalar clonador de voz castellano en Windows 11,Hola buenas noches. Quiero clonar mi voz en castellano para crear contenido de YouTube. Por lo que he mirado se puede hacer con Python y yo quisiera que instalando anaconda o el programa que me digas y metiendo en una carpeta en una dirección fija del disco duro todos los archivos necesarios con un solo script se instale el clonador de voces. Si alguien sabe hacerlo y me quiere dar precio es lo que estoy buscando.,"un solo script se instale el clonador de voces, python y yo quisiera que instalando anaconda o el programa, digas y metiendo en una carpeta en una dirección fija del disco duro, castellano para crear contenido, hola buenas noches, quiere dar precio es lo que estoy buscando, los archivos necesarios, windows, castellano, youtube"
"Voice Recording for MEXICAN NATIVES ONLY (solo con acento mexicano, simplemente lea e graba en la app) -- 2","Hola queridos Freelancer, Si eres nuevo en la plataforma y buscas una forma de conseguir tus primeros trabajos, pero tienes poca o ninguna experiencia en un campo, ENTONCES has llegado al lugar correcto. Mi empresa se especializa en el desarrollo de la IA y busca hablantes nativos de Mexico (¡sin acento extranjero como argentino etc.!) para aportar su voz a un proyecto de inteligencia artificial para dar forma a la IA del futuro. Para ser precisos, debes grabar 3500 frases cortas a través de la aplicación ""Lifewood"". Las frases estan en la app, es basicamente solo leer y graber, facil! ¡Puedes encontrar la aplicación en la App store! esos 3500 estan separados en 1x800, 1x700 y 4x500. Siempre tendras diferentes data de log-in y contranse&ntilde...","la ia del futuro, especializa en el desarrollo de la ia y busca hablantes nativos de mexico, pero tienes poca o ninguna experiencia en un campo, la plataforma y buscas una forma de conseguir tus primeros trabajos, solo con acento mexicano, mexican natives, ¡ sin acento extranjero como argentino, voice recording, hola queridos freelancer, artificial para dar forma"
Crear un reproductor de reproductor de música,"Tengo una página web, y requiero integrar un reproductor de música, así como el siguiente ejemplo","y requiero integrar un reproductor de música, tengo una página web, así como el siguiente"
Plugin para Gestión de envios,"Crear un plugin con funciones especificas para la gestión de envíos, usar el plugin local delivery driver como referencia en el archivo adjunto coloco las funciones.","la gestión de envíos, local delivery driver como referencia, plugin para gestión, con funciones especificas, coloco las funciones, envios, usar el plugin, crear un, el archivo"
diseño de email marketing marca de ropa para mujeres,"Hola, estamos buscando un talento para el desarrollo de email marketing para una lista de cliente de aproximadamente 3500 correos y asi optimizar el costo por adquisicion de clientes.","y asi optimizar el costo por adquisicion de clientes, estamos buscando un talento para el desarrollo de email marketing para una lista de cliente de aproximadamente, ropa para mujeres, email marketing, diseño, hola"
Audios silenciosos,Quiero crear audios silenciosos con vídeo o pantalla negra,"silenciosos con vídeo o pantalla negra, audios silenciosos, quiero"
DEV APP FLUTTER IDIOMA ESPAÑOL,"Se requiere senior flutter para concretar remaquetacion en app, que el proyecto esta finalizado solo que ahi que genera modificaciones y desarrollo en un 20% de trabajo, se requiere trabajar con un equipo de trabajo donde la comunicación es por wats ya que se tiene que estar concretando el trabajo diario. Puede ser persona o empresa Condiciones de Trabajo: Se paga solo por proyecto. Personas con idioma español. Se requiere trabajar 5 horas diarias se documenta el trabajo diario. Refactorizar el código para tener una muy buena documentación. Agregar arquitectura MVC para tener la mejor administración. Paso final publicar APP IOS y ANDROID Personal con experiencia Todos los requisitos son necesarios, la contratación es por la plataforma Se requiere ...","por la plataforma se, con un equipo de trabajo donde la comunicación, que se tiene que estar concretando el trabajo diario, refactorizar el código para tener una muy buena documentación, agregar arquitectura mvc para tener la mejor administración, paso final publicar app ios y android, que genera modificaciones y desarrollo, dev app, personal con experiencia todos los, senior flutter para"
Trafficker para agencia digital de funnel del nicho de salud,Busco Trafficker con buenos resultados en youtubes y meta ads para campañas de agencia de funnels expecilizada en servicios de salud.,"agencia de funnels expecilizada en servicios de salud, trafficker para agencia digital de funnel del nicho de salud, busco trafficker con buenos resultados, youtubes y meta ads, campañas"
Implementar Pasarela de pago mercadopago-pro,"Necesito implementar la pasarela de pago de mercadopago pro, en una app a partir del código que ya tengo construido. necesito que el cliente a la hora de realizar la compra no sea redirigido a la plataforma de pago fuera de la app, si no que pueda ejercer el pago desde la app sin necesidad de salirse de ella, ya sea con tarjeta de crédito, pago en efectivo con Efecty o Pse y que se vea tal cual como en la imagen que voy a mostrar a continuación. lo necesito en forma de video tutorial y que sea totalmente seguro el codigo.... Solo personas que realmente entiendan el idioma español y que comprendan lo que estoy pidiendo ya que ofertan personas que son de otros países que no hablan el idioma y solo dicen entender sin entender lo que se esta pidiendo","necesito que el cliente a, efecty o pse y que, lo necesito en forma de video tutorial y que sea totalmente seguro el codigo, realmente entiendan el idioma español y que comprendan lo que estoy pidiendo ya que ofertan personas que son de otros, partir del código que ya tengo construido, hablan el idioma y solo dicen entender sin entender lo que se esta pidiendo, ejercer el pago desde la app sin necesidad, implementar pasarela, una app, ya sea con tarjeta"
Transformar logo 3d,"Transformar logo a 3D (adjunto logo y flyer para idea de paleta de colores ) NO ACEPTO MOCKUP 3D, solo vectores obs: solo tengo archivo png Acepto mejoras en los colores siempre que sea tono cálido Acepto sugerencia de fuente Isotipo: bot nombre: Waxax opcional (waxax pro) Tipo: Agencia de Bots (sin slogan solo para referencia de nicho","solo tengo archivo png acepto mejoras en los colores siempre que sea tono, sin slogan solo para referencia de nicho, cálido acepto sugerencia de, solo vectores, waxax opcional, idea de paleta, bot nombre, transformar, transformar logo 3d, logo y flyer"
Clean up para un proyecto corto escolar,"Son 4 tomas por hacerse, mientras hacen el clean-up tiene que corregir el estilo y breves problemas en la animación. El corto es acerca de una paloma y un gato. La animación no es tan exagerada. Adjuntare un archivo de cómo se ven los personajes. +Debes saber manejar TOOM BOOM HARMONY +Al hace la limpieza de línea todas deben estar cerradas, debes asegurarte de ello.","acerca de una paloma y un gato, mientras hacen el clean-up tiene que corregir el estilo y, para un proyecto corto escolar, debes saber manejar toom boom harmony, al hace la limpieza de línea todas deben estar cerradas, tomas por, debes asegurarte, los personajes, son, problemas"
platafor de gestion de clientes por whatsapp,"Plataforma para gestión de clientes vía whatsapp, que permita una comunicacion en dos direccion, con bot y que permita enviar notificacion de vencimientos de documento permitir la carga de usarios importandolos de excel (apellidos, nombre, telefono, fech nac, vehiculo,) tabla de vencimiento de documento ( fech de emision, perido, fech de vencimiento, tipo de doc) recordatorios de cumpleaños de cliente recordatorio en tres etapas de vencimiento de documentos","de gestion de, con bot y que permita enviar notificacion, que permita una comunicacion, documento permitir la carga de usarios importandolos de excel, recordatorios de cumpleaños de cliente recordatorio, plataforma para gestión, por whatsapp, vía whatsapp, fech nac, tres etapas"
Diseño email marketing -Solo Español-,"Hola! Necesito el diseño de un email en html, con la oferta, packs y valores que están en esta pagina: El diseño debe tener CTA con botón WhatsApp El envío se hará por sendinblue. Saludos","necesito el diseño de un email, diseño email marketing -solo español-, el diseño debe tener cta con botón whatsapp el, hará por sendinblue, esta pagina, y valores que están, hola, html, con la oferta, saludos"
Desarrollo de página web,"Creación de una página web de anuncios por categoría, con diferentes precios. La página debe incluir anuncios de google para motenización. También debe tener una ubicación para anunciantes particulares. En tres idiomas.","creación de una página web de anuncios por categoría, incluir anuncios de google para motenización, tener una ubicación para, página web, desarrollo, tres idiomas, con, precios, también, particulares"
diseño para camiseta ( karma ),diseño sobrio y juvenil destinado para camisetas o para lo que quieras,"sobrio y juvenil destinado para camisetas o para lo, diseño para camiseta, karma"
Modelado de busto persona real low poly,"Necesito hacer un modelado 3D del busto de una persona real (ya fallecida) en low poly. Entregaría varias fotografías y un vídeo para tomar como referencia. No necesito que tenga mucho nivel de detalle, sólo que se le parezca un poco y tenga las proporciones adecuadas Subo imagen a modo de referencia","sólo que se le parezca un poco y tenga las proporciones, necesito hacer un modelado 3d del busto de una persona real, necesito que tenga mucho nivel, real low poly, y un vídeo para tomar como referencia, subo imagen, entregaría varias, modelado, referencia, ya fallecida"
Redactor para web sobre criptomonedas,"Hola, Estoy buscando un/a redactor/a para una web sobre criptomonedas. Necesito a una persona con conocimientos en Bitcoin, altcoins, NFT, y blockchain, lo suficiente para poder explicar en un lenguaje accesible para todo el mundo lo último que está pasando en este sector. La persona elegida comenzará escribiendo contenidos de actualidad de aproximadamente 350 palabras cada uno, empezaremos por 3 noticias de lunes a viernes y, si la cosa progresa adecuadamente, iremos aumentando el ritmo de forma progresiva. IMPRESCINDIBLE tener experiencia en redacción sobre esta temática. Enviadme ejemplos de vuestras redacciones y vuestra mejor oferta para esta colaboración (por paquete mensual de contenidos, 12 artículos al mes de 350/400 palabras c...","redactor para web sobre criptomonedas, un lenguaje accesible para todo el mundo lo último que está pasando, y vuestra mejor oferta para esta colaboración, redacción sobre esta temática, lo suficiente para poder explicar, palabras cada uno, elegida comenzará escribiendo, imprescindible tener experiencia, iremos aumentando el ritmo de forma progresiva, con conocimientos"
diseño de landing page de tarot esoterismo,"Necesito un diseñador para landingpages de tarot sencillas claras y directas. pero que tanto diseño grafico como textos, llamen la atención e impulsen al cliente a llamar.","llamen la atención e impulsen al cliente, diseño de landing page, tarot sencillas claras y directas, necesito un diseñador para landingpages, tarot esoterismo, diseño grafico como, pero que, llamar"
Escritura fantasma,Necesito una escritora fantasma para mi artículo,"necesito una escritora, escritura fantasma, para mi artículo"
utilizar como api rest a erp dolibarr,quiero utilizar como api reste a ERP DOLIBAR y diseñar una pagina web con la informacion que viene de api rest como un resumen,"erp dolibar y diseñar una pagina web con la informacion que viene de api rest como un resumen, quiero utilizar como api reste, erp dolibarr"
Modificacion en website Wordpress,Tengo un website realizado con Wordpress que me gustaria actualizar tanto en estructura como en fotos. Me gustaria encontrar un freelance que tenga disponibilidad inmediata.,"gustaria encontrar un freelance que tenga disponibilidad inmediata, website wordpress, tengo un website realizado, gustaria actualizar, estructura como, modificacion, fotos"
MEP Layout,"Electrical and plumbing , Water management & sanitation , harvesting , layout .","mep layout, water management, plumbing, sanitation, harvesting"
Qualified Accountant - CA / ACCA Urgnet,Looking for qualified & Experienced Accountant who can do for me one job thanks,"acca urgnet, qualified accountant, experienced accountant, job thanks, ca"
Mexican Woman Voice Over,Hello! We are doing a short film about mexico and we are looking for a Mexican Woman to do the voice over. Paid - Low budget. It’s a short text,"mexican woman voice over, short film, low budget, short text, voice, mexico"
VGSA Logo redesign.,"We want to rebrand our logo. We are a youth sports organization. I have attached our current logo so you can see the colors, fonts etc. We would like a new fresh look.","vgsa logo redesign, youth sports organization, current logo, new fresh look, colors, fonts"
presentation,"a simple yet extraordinary powerpoint presentation about ""fake news"".","extraordinary powerpoint presentation, fake news, presentation"
Wordpress Website- see example for guidelines,"This is the example, I want it to look similar. It should just be a relatively simple/basic Wordpress website- I already have the Domain, Hosting, Wordpress access.","basic wordpress website-, wordpress access, example, guidelines, domain, hosting"
Cleningcompany website,I need a simple website for a cleaning company. It is important that we have a booking form where the customer can place their order and pay directly.,"cleningcompany website, simple website, booking form, company, customer, order"
Type a book,copy typing and editing need urgently,"book, editing"
Master audio for voice work in Premier Pro,"Looking to master and change voice in premier pro. 2 asks 1) Make an AI voice less breathy and more ""real"" this is about 2 min of voiceover (all the same) 2) Do mastering of voice for 4 sequences (roughly 2 min each) recorded with LAVs and Shotgun mic. (Multrack sound)","master audio, voice work, premier pro, shotgun mic, multrack sound, min, lavs, voiceover, sequences"
DataScrapping NSE,"Need an experienced data scrapper from NSE option Data and feed the values real time to trade automation software, realtime data alrert from Chartink and feed them to trade automation with tradetron. help in logic building with the prebuilt Algo in tradetron. Good experience in sharemarket related filed is preferred Skills required","nse option data, realtime data alrert, experienced data scrapper, datascrapping nse, automation software, prebuilt algo, real time, logic building, tradetron, good experience"
Neural computing using MATLAB and Simulink,The task will take you through modelling 1. The f-I curve of the leaky I&F neuron 2. A dynamic synapse in an I&F neuron using MATLAB. Including Report Writng,"leaky i&f neuron, neural computing, simulink, report writng, matlab, dynamic synapse, task"
need a Photoshop expert,"Trying to combine the best of two Thanksgiving photos. 1) one is over-exposed, but more faces visible. Other has better exposure, but fewer faces visible.","photoshop expert, thanksgiving photos, better exposure, fewer faces, more faces"
SEO for website,"HI i have a website that is some kind of a niche market so i dont think it would be too hard for SEO. I never had to look for SEO so i would like to know in real life what does the person who do SEO , do physically what needs to be checked etc What is the difference between a good SEO person and one who just copy paste other freelancers resume and pretend to be good. How can i tell ? Thanks Let's say while waiting for proposals i will read a bit on that","good seo person, seo, niche market, website, real life, kind, person, difference, thanks, proposals"
Monitoring of invoices through purchase order stage and services,"Enter UK and Canada vendor and documents record invoice data into accounting software. Monitor invoices through purchase order stage, receive goods & services, submit invoices to data processing and monitor invoices through to payment. Sort invoices.","purchase order stage, canada vendor, invoice data, accounting software, sort invoices, data processing, monitoring, services, documents, goods"
App development,Develop android mobile application,"app development, android mobile application"
"Rédaction, relecture",La correction d'orthographe et de faute grammaticales. Rédaction et relecture.,"faute grammaticales, rédaction, relecture, rédaction et relecture, la correction d'orthographe"
Need API Dev and payment gateway expert for backend(php).  -- 5,Need API Dev for backend(php) who can help my app developer in fixing some issues: Create new API and make some modifications in existing API. And also issue in paymeny gateway NOTE: budget upto 1K INR,"payment gateway expert, api dev, paymeny gateway note, new api, app developer, backend(php, budget upto, issues, modifications, k inr"
I need a Technical Writer,I would like to get content written for our bulk fuel filtration product line Web Page with attractive headlines. Here are two of our competitor websites with their content:,"bulk fuel filtration product line web page, technical writer, attractive headlines, content, competitor"
PowerPoint ghost writer needed,I am in need of a good freelancer who can help me handle the project properly at the given time immediately,"powerpoint ghost writer, good freelancer, need, project, time"
Native Norwegians required,"Hello, We're looking for native Norwegians to audio-record a dialogue of two people through skype. The recording is 2 hours on 4 different topics. You need to find a partner by yourself to record. You must prepare the content of the conversation by yourself. The content should be natural and real. The price is $50 fixed for both participant, after the task is checked and validated. This is for voice Improvement Software.","native norwegians, voice improvement software, different topics, content, dialogue, people, skype, hours, partner, conversation"
Mysql query to select the minimum value from rows,Suppose we have a table with five rows. Every row has an integer value. Need to find the row with minimum value and echo it in php page,"mysql query, minimum value, integer value, rows, php page, row, table"
